-212.792,-1194.49,0.999833,-0.0182515,0,1.60082,0,1.61957
-211.771,-1194.51,1,-2.78689e-05,1.02133,1.63087,1.02133,1.62079
-210.021,-1194.51,1,-2.65646e-05,2.77088,1.62703,2.77088,1.61709
-208.272,-1194.51,0.999986,-0.00534703,4.52043,1.61368,4.52043,1.61322
-206.522,-1194.52,1,-2.6106e-05,6.27,1.6217,6.27,1.60274
-204.765,-1194.52,0.999986,0.00527213,8.02669,1.62071,8.02669,1.60184
-203.009,-1194.51,1,-2.67104e-05,9.7834,1.6016,9.7834,1.6109
-201.245,-1194.51,0.999986,-0.00534503,11.5472,1.60139,11.5472,1.62
-199.495,-1194.52,1,-2.51697e-05,13.2968,1.61069,13.2968,1.61052
-197.753,-1194.52,0.999986,-0.00534457,15.0392,1.60121,15.0392,1.61038
-196.003,-1194.53,1,-2.57853e-05,16.7888,1.61038,16.7888,1.60107
-194.247,-1194.53,0.999986,0.00529515,18.5455,1.60107,18.5455,1.60096
-192.497,-1194.52,1,-2.53223e-05,20.295,1.59177,20.295,1.61027
-190.748,-1194.52,0.999988,-0.0049064,22.0446,1.59165,22.0446,1.61957
-188.841,-1194.53,0.999988,-0.00488695,23.9513,1.59165,23.9513,1.62924
-186.927,-1194.54,0.999966,-0.00830103,25.8651,1.60096,25.8651,1.61417
-184.678,-1194.55,1,-2.18998e-05,28.1146,1.61027,28.1146,1.60241
-183.114,-1194.56,0.999988,-0.00490539,29.6785,1.61019,29.6785,1.61114
-181.207,-1194.56,1,-2.38199e-05,31.5851,1.61949,31.5851,1.61069
-179.3,-1194.56,0.999952,-0.00982255,33.4918,1.61416,33.4918,1.61982
-177.401,-1194.58,0.999988,-0.00490463,35.3914,1.61709,35.3914,1.61038
-175.494,-1194.59,0.999988,-0.00490339,37.2981,1.61368,37.2981,1.61027
-173.588,-1194.6,0.999988,-0.00490413,39.2047,1.61204,39.2047,1.61027
-171.681,-1194.61,0.999988,-0.00497812,41.1114,1.60211,41.1114,1.61019
-169.803,-1194.62,0.999988,-0.00497687,42.9895,1.60184,42.9895,1.61019
-167.925,-1194.63,0.999988,-0.00497762,44.8676,1.6016,44.8676,1.61019
-166.047,-1194.64,0.999988,-0.0049576,46.7457,1.60139,46.7457,1.61014
-164.161,-1194.65,0.999301,-0.0373849,48.631,1.59561,48.631,1.61014
-162.419,-1194.71,0.999095,-0.0425383,50.3746,1.63173,50.3746,1.66012
-160.669,-1194.79,0.999307,-0.0372321,52.1257,1.67336,52.1257,1.68512
-158.92,-1194.85,0.999087,-0.0427128,53.8765,1.70751,53.8765,1.73112
-157.178,-1194.93,0.999307,-0.0372306,55.6205,1.75301,55.6205,1.76847
-155.428,-1194.99,0.999307,-0.0372306,57.3712,1.79626,57.3712,1.80608
